Year,REF_AREA,Country,Expenditure,value_raw,Unit_mult,Currency,Value_expenditure_Share %
2007,FIN,Finlande,Restaurants_Hotels,5811.0,6,EUR,6.7
2007,FIN,Finlande,Communication,2325.0,6,EUR,2.68
2007,FIN,Finlande,Education,368.0,6,EUR,0.42
2007,FIN,Finlande,Clothing_Footwear,4236.0,6,EUR,4.88
2007,FIN,Finlande,Household_Goods,4721.0,6,EUR,5.44
2007,FIN,Finlande,Health,3770.0,6,EUR,4.34
2007,FIN,Finlande,Recreation_Culture,10716.0,6,EUR,12.35
2007,FIN,Finlande,Housing_Utilities,20545.0,6,EUR,23.68
2007,FIN,Finlande,Transport,11046.0,6,EUR,12.73
2007,FIN,Finlande,Food,10398.0,6,EUR,11.98
2007,FIN,Finlande,Other_Services,8481.0,6,EUR,9.77
2008,FIN,Finlande,Alcohol_Tobacco,4520.0,6,EUR,4.94
2008,FIN,Finlande,Restaurants_Hotels,6021.0,6,EUR,6.58
2008,FIN,Finlande,Communication,2400.0,6,EUR,2.62
2008,FIN,Finlande,Education,372.0,6,EUR,0.41
2008,FIN,Finlande,Clothing_Footwear,4376.0,6,EUR,4.78
2008,FIN,Finlande,Household_Goods,4916.0,6,EUR,5.37
2008,FIN,Finlande,Health,3985.0,6,EUR,4.35
2008,FIN,Finlande,Recreation_Culture,11193.0,6,EUR,12.23
2008,FIN,Finlande,Housing_Utilities,21722.0,6,EUR,23.73
2008,FIN,Finlande,Transport,11749.0,6,EUR,12.84
2008,FIN,Finlande,Food,11299.0,6,EUR,12.35
2008,FIN,Finlande,Other_Services,8967.0,6,EUR,9.8
2009,FIN,Finlande,Alcohol_Tobacco,4710.0,6,EUR,5.24
2009,FIN,Finlande,Restaurants_Hotels,5773.0,6,EUR,6.43
2009,FIN,Finlande,Communication,2262.0,6,EUR,2.52
2009,FIN,Finlande,Education,376.0,6,EUR,0.42
2009,FIN,Finlande,Clothing_Footwear,4296.0,6,EUR,4.78
2009,FIN,Finlande,Household_Goods,4629.0,6,EUR,5.15
2009,FIN,Finlande,Health,3850.0,6,EUR,4.29
2009,FIN,Finlande,Recreation_Culture,10793.0,6,EUR,12.02
2009,FIN,Finlande,Housing_Utilities,22856.0,6,EUR,25.45
2009,FIN,Finlande,Transport,10298.0,6,EUR,11.46
2009,FIN,Finlande,Food,11453.0,6,EUR,12.75
2009,FIN,Finlande,Other_Services,8527.0,6,EUR,9.49
2010,FIN,Finlande,Alcohol_Tobacco,4806.0,6,EUR,5.11
2010,FIN,Finlande,Restaurants_Hotels,5938.0,6,EUR,6.31
2010,FIN,Finlande,Communication,2383.0,6,EUR,2.53
2010,FIN,Finlande,Education,379.0,6,EUR,0.4
2010,FIN,Finlande,Clothing_Footwear,4483.0,6,EUR,4.77
2010,FIN,Finlande,Household_Goods,5028.0,6,EUR,5.35
2010,FIN,Finlande,Health,4158.0,6,EUR,4.42
2010,FIN,Finlande,Recreation_Culture,11179.0,6,EUR,11.89
2010,FIN,Finlande,Housing_Utilities,24153.0,6,EUR,25.68
2010,FIN,Finlande,Transport,11605.0,6,EUR,12.34
2010,FIN,Finlande,Food,11384.0,6,EUR,12.1
2010,FIN,Finlande,Other_Services,8552.0,6,EUR,9.09
2011,FIN,Finlande,Education,422.0,6,EUR,0.42
2011,FIN,Finlande,Restaurants_Hotels,6359.0,6,EUR,6.33
2011,FIN,Finlande,Communication,2573.0,6,EUR,2.56
2011,FIN,Finlande,Alcohol_Tobacco,4935.0,6,EUR,4.92
2011,FIN,Finlande,Clothing_Footwear,4664.0,6,EUR,4.65
2011,FIN,Finlande,Household_Goods,5366.0,6,EUR,5.34
2011,FIN,Finlande,Health,4339.0,6,EUR,4.32
2011,FIN,Finlande,Transport,13020.0,6,EUR,12.97
2011,FIN,Finlande,Food,12187.0,6,EUR,12.14
2011,FIN,Finlande,Other_Services,9370.0,6,EUR,9.33
2011,FIN,Finlande,Recreation_Culture,11738.0,6,EUR,11.69
2011,FIN,Finlande,Housing_Utilities,25424.0,6,EUR,25.32
2012,FIN,Finlande,Alcohol_Tobacco,4994.0,6,EUR,4.81
2012,FIN,Finlande,Restaurants_Hotels,6593.0,6,EUR,6.35
2012,FIN,Finlande,Communication,2461.0,6,EUR,2.37
2012,FIN,Finlande,Education,415.0,6,EUR,0.4
2012,FIN,Finlande,Clothing_Footwear,4767.0,6,EUR,4.59
2012,FIN,Finlande,Household_Goods,5455.0,6,EUR,5.26
2012,FIN,Finlande,Health,4396.0,6,EUR,4.24
2012,FIN,Finlande,Recreation_Culture,12043.0,6,EUR,11.6
2012,FIN,Finlande,Housing_Utilities,26852.0,6,EUR,25.87
2012,FIN,Finlande,Transport,13228.0,6,EUR,12.75
2012,FIN,Finlande,Food,12746.0,6,EUR,12.28
2012,FIN,Finlande,Other_Services,9834.0,6,EUR,9.48
2013,FIN,Finlande,Clothing_Footwear,4736.0,6,EUR,4.48
2013,FIN,Finlande,Household_Goods,5344.0,6,EUR,5.06
2013,FIN,Finlande,Health,4644.0,6,EUR,4.39
2013,FIN,Finlande,Alcohol_Tobacco,5142.0,6,EUR,4.87
2013,FIN,Finlande,Communication,2480.0,6,EUR,2.35
2013,FIN,Finlande,Restaurants_Hotels,6677.0,6,EUR,6.32
2013,FIN,Finlande,Education,410.0,6,EUR,0.39
2013,FIN,Finlande,Recreation_Culture,11788.0,6,EUR,11.15
2013,FIN,Finlande,Housing_Utilities,28068.0,6,EUR,26.56
2013,FIN,Finlande,Transport,12973.0,6,EUR,12.27
2013,FIN,Finlande,Food,13296.0,6,EUR,12.58
2013,FIN,Finlande,Other_Services,10131.0,6,EUR,9.59
2014,FIN,Finlande,Clothing_Footwear,4755.0,6,EUR,4.43
2014,FIN,Finlande,Household_Goods,5363.0,6,EUR,4.99
2014,FIN,Finlande,Health,4584.0,6,EUR,4.27
2014,FIN,Finlande,Education,412.0,6,EUR,0.38
2014,FIN,Finlande,Alcohol_Tobacco,5224.0,6,EUR,4.87
2014,FIN,Finlande,Communication,2566.0,6,EUR,2.39
2014,FIN,Finlande,Restaurants_Hotels,6699.0,6,EUR,6.24
2014,FIN,Finlande,Other_Services,10686.0,6,EUR,9.95
2014,FIN,Finlande,Food,13449.0,6,EUR,12.53
