Year,REF_AREA,birth_rate,fertility,emp_rate,20-,20-64,65+,Alcohol_Tobacco,Clothing_Footwear,Communication,Education,Food,Health,Household_Goods,Housing_Utilities,Other_Services,Recreation_Culture,Restaurants_Hotels,Transport,gov_spending,"Couple, 2 children","Couple, no children","Single person, no children"
2003,ISL,14.362,1.99,84.34,29.93,58.33,11.73,5.23,4.87,2.69,1.43,13.52,3.21,6.26,19.54,8.05,12.12,8.23,14.84,2.945,25.19,25.73,27.59
2004,ISL,14.571,2.04,83.54,29.71,58.52,11.77,4.9,4.64,2.6,1.36,12.99,3.16,6.22,20.1,8.26,11.91,7.86,16.0,2.984,25.99,26.25,28.03
2004,LUX,11.983,1.66,67.69,24.38,61.59,14.03,11.43,5.42,1.63,0.53,8.42,2.71,7.05,20.88,11.24,7.04,7.37,16.29,3.657,9.07,19.82,25.03
2004,DEU,8.55,1.36,68.76,20.37,61.31,18.32,3.56,5.35,2.77,0.71,10.89,4.55,6.71,24.46,12.37,10.2,4.89,13.55,2.02,33.24,39.36,42.28
2004,SVK,10.005,1.25,63.74,25.16,63.23,11.61,5.64,4.41,3.72,1.44,14.85,1.63,5.24,33.61,7.38,8.43,6.47,7.18,1.957,13.88,20.81,22.31
2004,ESP,10.651,1.31,65.39,19.94,63.36,16.69,4.3,5.42,2.55,1.42,13.44,3.32,5.42,16.85,9.78,8.63,17.18,11.69,1.035,16.21,18.29,20.09
2004,SWE,11.245,1.75,77.61,23.96,58.83,17.21,3.73,4.76,3.43,0.27,12.09,2.94,5.21,27.19,9.73,11.88,5.16,13.6,3.105,26.45,30.92,31.52
2004,LVA,9.027,1.29,67.94,23.31,60.25,16.44,7.99,5.25,3.55,2.24,22.81,4.22,3.12,18.73,5.18,10.16,5.15,11.6,1.287,21.12,28.48,29.02
2004,GRC,9.657,1.31,63.94,21.08,60.76,18.16,4.56,6.81,2.8,2.16,16.07,4.83,4.54,17.03,9.27,4.91,13.76,13.27,0.797,23.96,23.24,24.61
2004,CHE,9.924,1.42,79.98,22.2,62.04,15.76,4.33,2.72,2.35,0.84,9.24,13.66,3.85,23.58,10.98,9.17,9.67,9.62,1.394,12.19,17.59,17.5
2004,EST,10.241,1.47,69.71,23.15,60.47,16.38,8.24,6.69,3.19,1.16,19.34,3.12,4.94,19.16,7.36,8.64,6.72,11.43,1.837,16.08,20.9,21.86
2004,IRL,15.382,1.93,72.77,28.24,60.65,11.12,6.44,4.72,3.24,1.33,9.61,3.07,6.66,19.93,12.26,7.87,13.73,11.14,2.637,13.64,18.72,23.55
2004,NOR,12.442,1.83,78.18,26.01,59.27,14.72,4.6,5.48,3.23,0.37,13.53,2.93,5.95,21.1,9.57,12.95,5.66,14.63,2.96,24.89,28.7,30.09
2004,AUT,9.698,1.42,69.55,22.17,62.13,15.71,3.45,6.34,2.81,0.78,10.22,3.87,7.0,19.94,10.6,10.02,11.64,13.33,2.986,22.81,31.02,33.22
2004,FIN,11.065,1.8,72.23,23.65,60.63,15.72,5.48,4.76,3.27,0.47,12.18,4.17,5.14,24.51,8.88,11.43,6.58,13.14,2.821,23.4,28.32,30.84
2004,SVN,8.997,1.25,70.42,20.82,64.0,15.17,4.8,5.64,3.27,1.01,15.41,3.39,5.86,18.66,9.13,10.91,6.68,15.23,1.949,25.55,34.28,35.59
