Year,REF_AREA,Country,Measure,Unit_measure,Value
2021,ITA,Italie,household_debt,PT,89.32
2021,LVA,Lettonie,household_debt,PT,41.21
2021,LTU,Lituanie,household_debt,PT,50.94
2021,LUX,Luxembourg,household_debt,PT,194.21
2021,NLD,Pays-Bas,household_debt,PT,244.6
2021,NOR,Norvège,household_debt,PT,243.1
2021,POL,Pologne,household_debt,PT,56.58
2021,PRT,Portugal,household_debt,PT,126.7
2021,SVK,République slovaque,household_debt,PT,83.33
2021,SVN,Slovénie,household_debt,PT,52.93
2021,ESP,Espagne,household_debt,PT,97.43
2021,SWE,Suède,household_debt,PT,200.55
2021,CHE,Suisse,household_debt,PT,231.0
2021,GBR,Royaume-Uni,household_debt,PT,146.53
2022,AUT,Autriche,household_debt,PT,88.3
2022,BEL,Belgique,household_debt,PT,112.59
2022,DNK,Danemark,household_debt,PT,211.67
2022,EST,Estonie,household_debt,PT,76.62
2022,FIN,Finlande,household_debt,PT,155.53
2022,FRA,France,household_debt,PT,129.81
2022,DEU,Allemagne,household_debt,PT,93.38
2022,GRC,Grèce,household_debt,PT,85.62
2022,HUN,Hongrie,household_debt,PT,39.55
2022,IRL,Irlande,household_debt,PT,108.8
2022,ITA,Italie,household_debt,PT,86.15
2022,LVA,Lettonie,household_debt,PT,39.0
2022,LTU,Lituanie,household_debt,PT,46.0
2022,LUX,Luxembourg,household_debt,PT,197.36
2022,NLD,Pays-Bas,household_debt,PT,235.49
2022,NOR,Norvège,household_debt,PT,246.83
2022,POL,Pologne,household_debt,PT,46.96
2022,PRT,Portugal,household_debt,PT,119.92
2022,SVK,République slovaque,household_debt,PT,84.04
2022,SVN,Slovénie,household_debt,PT,51.27
2022,ESP,Espagne,household_debt,PT,93.35
2022,SWE,Suède,household_debt,PT,192.85
2022,CHE,Suisse,household_debt,PT,227.32
2022,GBR,Royaume-Uni,household_debt,PT,144.68
2023,AUT,Autriche,household_debt,PT,81.05
2023,BEL,Belgique,household_debt,PT,105.28
2023,DNK,Danemark,household_debt,PT,206.11
2023,EST,Estonie,household_debt,PT,74.04
2023,FIN,Finlande,household_debt,PT,147.45
2023,FRA,France,household_debt,PT,121.46
2023,DEU,Allemagne,household_debt,PT,88.65
2023,GRC,Grèce,household_debt,PT,77.34
2023,HUN,Hongrie,household_debt,PT,35.02
2023,IRL,Irlande,household_debt,PT,94.52
2023,ITA,Italie,household_debt,PT,81.58
2023,LVA,Lettonie,household_debt,PT,39.39
2023,LTU,Lituanie,household_debt,PT,51.56
2023,LUX,Luxembourg,household_debt,PT,183.81
2023,NLD,Pays-Bas,household_debt,PT,219.27
2023,POL,Pologne,household_debt,PT,41.24
2023,PRT,Portugal,household_debt,PT,109.21
2023,SVK,République slovaque,household_debt,PT,80.53
2023,SVN,Slovénie,household_debt,PT,49.5
2023,ESP,Espagne,household_debt,PT,82.89
2023,SWE,Suède,household_debt,PT,184.0
2023,CHE,Suisse,household_debt,PT,224.47
2023,GBR,Royaume-Uni,household_debt,PT,137.14
2024,AUT,Autriche,household_debt,PT,74.84
2024,BEL,Belgique,household_debt,PT,104.72
2024,DNK,Danemark,household_debt,PT,203.49
2024,EST,Estonie,household_debt,PT,74.31
2024,FIN,Finlande,household_debt,PT,141.55
2024,FRA,France,household_debt,PT,115.75
2024,DEU,Allemagne,household_debt,PT,85.8
2024,GRC,Grèce,household_debt,PT,74.35
2024,HUN,Hongrie,household_debt,PT,34.44
2024,IRL,Irlande,household_debt,PT,85.92
2024,ITA,Italie,household_debt,PT,79.69
2024,LVA,Lettonie,household_debt,PT,39.94
2024,LTU,Lituanie,household_debt,PT,53.37
2024,LUX,Luxembourg,household_debt,PT,178.34
2024,NLD,Pays-Bas,household_debt,PT,215.76
2024,POL,Pologne,household_debt,PT,38.46
2024,PRT,Portugal,household_debt,PT,103.26
2024,SVK,République slovaque,household_debt,PT,77.45
2024,SVN,Slovénie,household_debt,PT,50.13
2024,ESP,Espagne,household_debt,PT,78.36
2024,SWE,Suède,household_debt,PT,179.91
2024,GBR,Royaume-Uni,household_debt,PT,130.71
2000,AUT,Autriche,land_per_capita,USD_PPP,27006.54
2000,BEL,Belgique,land_per_capita,USD_PPP,31156.19
2000,DNK,Danemark,land_per_capita,USD_PPP,21905.13
2000,EST,Estonie,land_per_capita,USD_PPP,6590.76
2000,FIN,Finlande,land_per_capita,USD_PPP,8267.81
2000,FRA,France,land_per_capita,USD_PPP,16820.07
2000,DEU,Allemagne,land_per_capita,USD_PPP,20653.57
2000,HUN,Hongrie,land_per_capita,USD_PPP,3324.71
2000,IRL,Irlande,land_per_capita,USD_PPP,55134.07
2000,ITA,Italie,land_per_capita,USD_PPP,39834.04
2000,LTU,Lituanie,land_per_capita,USD_PPP,853.02
2000,LUX,Luxembourg,land_per_capita,USD_PPP,101167.97
2000,NLD,Pays-Bas,land_per_capita,USD_PPP,34259.31
2000,NOR,Norvège,land_per_capita,USD_PPP,23765.41
2000,POL,Pologne,land_per_capita,USD_PPP,2575.06
2000,PRT,Portugal,land_per_capita,USD_PPP,11649.03
2000,SVK,République slovaque,land_per_capita,USD_PPP,2751.22
2000,SVN,Slovénie,land_per_capita,USD_PPP,29753.6
2000,ESP,Espagne,land_per_capita,USD_PPP,43454.0
2000,SWE,Suède,land_per_capita,USD_PPP,7038.52
2000,GBR,Royaume-Uni,land_per_capita,USD_PPP,28722.88
2001,AUT,Autriche,land_per_capita,USD_PPP,26717.66
2001,BEL,Belgique,land_per_capita,USD_PPP,34275.22
2001,DNK,Danemark,land_per_capita,USD_PPP,21780.14
2001,EST,Estonie,land_per_capita,USD_PPP,7324.09
2001,FIN,Finlande,land_per_capita,USD_PPP,8642.97
2001,FRA,France,land_per_capita,USD_PPP,20203.28
2001,DEU,Allemagne,land_per_capita,USD_PPP,21560.1
2001,HUN,Hongrie,land_per_capita,USD_PPP,3563.68
2001,IRL,Irlande,land_per_capita,USD_PPP,56466.15
2001,ITA,Italie,land_per_capita,USD_PPP,42613.91
2001,LTU,Lituanie,land_per_capita,USD_PPP,1119.87
2001,LUX,Luxembourg,land_per_capita,USD_PPP,114732.11
2001,NLD,Pays-Bas,land_per_capita,USD_PPP,38518.27
2001,NOR,Norvège,land_per_capita,USD_PPP,24501.35
2001,POL,Pologne,land_per_capita,USD_PPP,2962.77
